Order ID,Date,Time,date_time,Kiosk,Product,Qty,Subtotal,Unit Price_BD,Unit_Price_AD,Discount Applied,Total,COGS,Margin,Fridge Type,Promotion Label,,,,,,,,,,,
1588PXF4MZ,9/5/19,12:32:59 PM,12:32:59 PM,Kronos,Vegan Mediterranean,1,7.98,7.98,7.98,0,7.98,3,4.98,Byte,,,,,,,,,,,,
1588PXF4MZ,9/5/19,12:32:59 PM,12:32:59 PM,Kronos,Seasoned Chicken,1,3.49,3.49,3.49,0,3.49,1.5,1.99,Byte,,,,,,,,,,,,
1589PXF4JY,9/5/19,12:31:10 PM,12:31:10 PM,One Boston Place,Sparkling Raspberry Maple Water,1,2.98,2.98,2.24,0.74,2.24,5,-2.02,Byte,,,,,,,,,,,,
1588PXF4JK,9/5/19,12:30:56 PM,12:30:56 PM,Kronos,Spring Mix Apple Brie,1,7.98,7.98,7.98,0,7.98,3,4.98,Byte,,,,,,,,,,,,
1590PXF4DA,9/5/19,12:27:10 PM,12:27:10 PM,GSV,Kombucha,1,4.49,4.49,4.49,0,4.49,0,4.49,Byte,,,,,,,,,,,,
1588PXF42P,9/5/19,12:20:49 PM,12:20:49 PM,Kronos,Pulled Buffalo Chicken Bowl,1,7.98,7.98,7.98,0,7.98,3.5,4.48,Byte,,,,,,,,,,,,
1588PXF41B,9/5/19,12:19:59 PM,12:19:59 PM,Kronos,Pulled Buffalo Chicken Bowl,1,7.98,7.98,7.98,0,7.98,3.5,4.48,Byte,,,,,,,,,,,,
1588PXF3JH,9/5/19,12:09:17 PM,12:09:17 PM,Kronos,SmartSweets Gummy Bears,1,3.49,3.49,3.49,0,3.49,2.49,1,Byte,,,,,,,,,,,,
1588PXF3H9,9/5/19,12:07:57 PM,12:07:57 PM,Kronos,Seasoned Chicken,1,3.49,3.49,3.49,0,3.49,1.5,1.99,Byte,,,,,,,,,,,,
1588PXF3H9,9/5/19,12:07:57 PM,12:07:57 PM,Kronos,Vegan Mediterranean,1,7.98,7.98,7.98,0,7.98,3,4.98,Byte,,,,,,,,,,,,
1590PXF2XY,9/5/19,11:56:22 AM,11:56:22 AM,GSV,Seasoned Chicken,1,3.49,3.49,3.49,0,3.49,1.5,1.99,Byte,,,,,,,,,,,,
